kanji,type,mean,spell
大変,fukushi/keiyodoshi/noun,terribly; awfully;enormous; terrible;difficult;hard,たいへん
救急車,noun,amblance,きゅうきゅうしゃ
呼ぶ,verb, call; summon,よぶ
連絡,noun, contact,れんらく
スマホ,noun,smart phone,すまほ
カバン(鞄),noun, bag,かばん
慌てる,verb,hurry;rush;panic,あわてて
取り出す,verb,to take out,とりだす
そう,keiyodoshi/aux,look like; appear that; seem that,_
尻餅をつく,verb,fall on one'side,しりもちをつく
頭上,noun,overhead,ずじょう
飛ぶ,verb,fly,とぶ
キャッチ,noun,catch,きやっち
足元,noun, one's foot,あしもと
気をつけ,phrase/noun,warning; keep attention,きをつけ
ゆっくり,fukushi,slowly;well;easily,~
前,noun, ahead; forward,まえ
何度も,fukushi,many times over; repeatedly;time after time,なんども
ペコペコ,keiyodoshi,very hungry, ぺこぺこ
ペコペコ,fukushi,being sevile; kowtowing; bowing repeatedly; cringing, ぺこぺこ
凄い,keiyoushi,dreadful; terrible; amazing; great,すごい
勢い,noun, force;vigor;influence;authority,いきおい
勢い,fukushi, naturally;necessarily,いきおい
頭,noun,head,あたま
下げる,verb,bring down,さげる
綺麗,keiyodoshi, pretty; lovely; beautiful;completely;pure,きれい
髪,noun, hair,かみ
弾む,verb,bound;bounce;be stimulated,はずむ
揺れる,verb,shake;sway;waver,ゆれる
画面,noun, screen,がめん
怪我、noun, wound,けが
ずぶ濡れ,noun,dripping wet; soaked,ずぶぬる
使う,verb, use,つかう
お尻,noun, bottom; buttocks,おしり
拭く,verb,to dry,ふく
引っ込み思案,noun,introverted; reserve;reticent;shy,ひつこみしあん
大胆,noun,bold;daring;audacious,だいたん
見惚れる,verb, fascinated by; captivated by; gaze admiringly at,みとれる
今日,noun/fukushi,today,きょう
コンタクト,noun, countact,こんたくと
髪型,noun, hair style,かみがた
変う,verb,to change; to alter; to transform,かう
全然,fukushi,at all; in the slightest; wholly; extreme,ぜんぜん
変,noun/keiyodoshi,strange;odd;weird,へん
褒める,verb,to praise;to compliment,ほめる
知ってる,verb,to know,知ってる
立ち話,noun,standing around talking,たちばなし
遅刻,noun,lateness; arriving late,ちこく
行く,verb, go;reach,いく
時間,noun,time;hour;period;lesson,じかん
余裕,noun,margin;surplus;scope,よゆう
雪道,noun, snow-covered path,ゆきみち
始める,verb, starting,はじめる
会話,noun, conversation; a talk; chat,かいわ
なおさら,fukushi,even more or less,~
話しかける,verb,to address (someone); to talk; start a conversation,はなしかける
着る,verb, wear; put on,きる
通う,verb, to go to; to attend;to commute,かよう
二年生,noun, second year student,になんせい
後輩,noun, junior, こうはい
先輩,noun, senior; elder;supperior,せんぱい
同級生,noun, classmate,どうきゅうせい
君,pronoun,you; buddy; pal,きみ
足,noun, foot, あし
滑る,verb,slide,すべる
思いっきり,fukushi, truly; to heart's content,おもいっきり
柔らかい,fukushi, soft;gentle;light; flexible,やわらかい
胸,noun,chest;breast,むね
顔,noun,face;expression,かお
上手く,fukushi,skillful; proficient,じょうずく
支える,verb,support,ささえる
必死,keiyodoshi,frantic; frenetic;desperate,ひっし
痴漢,noun,molester;pervert,痴漢
紛い,noun/suffix,-like,まがい
転ぶ,verb,fall,ころぶ
歩,noun,step,ほ
後退,noun,retreat;moving backwards;retraction,こうたい
イチゴ(苺),noun,strawberry,いちご
真っ赤,noun,bright red;flushed,まっか
原因,noun,cause;origin,げんいん
深々,fukushi,very deeply,ふかぶか
頭,noun,head,あたま
下げる,verb,to suspend; to lower; to demote; move back; clear(plate), remove(food),さげる
声,noun, voice, こえ
路面,noun, road surface,ろめん
凍る,verb,to freeze; congeal,こおる
歩き方,noun, way to walk, 歩き方
情報,noun, information; report;news,じょうほう
実,noun,truth; sincerity,じつ
益々,fukushi,increasingly; more and more,ますます
面白い,keiyoushi,interesting;amusing;enjoyable,おもしろい
変わる,verb, to change; to be transformed, to be altered,かわる
危ない,keiyoushi,dangerous;risky;uncertain; insecure,あぶない
うっかり,fukushi,carelessly;thoughtlessly;ウッカリ
メッセージ,noun, message,めっせえじ
謎,noun,misterious;enigma,なぞ
別,noun,difference,べつ
吃驚(ビックリ),fukushi/noun,suprise,びっくり
イメチェン,noun,image change; changing one's image,いめちぇん
あだ名,noun, nickname,あだな
付ける,verb, attach; join; add, つける
抱きつく,verb, embrace,だきつく
悪くなる,verb,get worse,わるくない
謝る,verb, apologize,あやまる
小さい,keiyoushi,small;little;tiny,ちいさい
取れる,verb,to come off; to be removed; to be obtainable,とれる
最後,noun,end;conclusion;las夜t;final;latest,さいご
聞き,noun, hearing,きき
今度,noun/fukushi,this time;now; another time; nex time,こんど
喜ぶ, to be delighted; to be glad; to congratulate,よろこぶ
無事,noun/keiyodoshi/fukushi, safely; security;peace;successfully,ぶじ
二度目,noun, second time, にどめ
時,noun, time,とき
書く,verb, write,かく
知り合い,noun, acquaintance,しりあい
暗い,keiyoushi,dark;gloomy,くらい
少い,keiyoushi,few; a little; scarce,すくない
首,noun,neck,くび
振る,verb, to wave; shake; swing,ふる
戻る,verb, to turn back; to return; to go back; to recover,もどる
表情,noun, facial expression,ひょうじょう
にこやか,keiyodoshi,smiling; beaming; radiant; cheerful,-
助言,noun, advice,じょげん
